annee;coordonnees;dep;depcom;libcom;naissances;reg
"2004";"43.6208174786, -1.13368115341";"40";"40269";"Saint-Lon-les-Mines";"16";"72";"NaN"
"2003";"43.1233667557, 2.03299800063";"11";"11246";"Montgradail";"1";"91";"NaN"
"2006";"47.6160275858, 1.54153082337";"41";"41034";"Chambord";"5";"24";"NaN"
"2004";"47.4622240218, 1.27087030683";"41";"41145";"Monthou-sur-Bièvre";"14";"24";"NaN"
"2005";"44.2590321912, 2.52423447426";"12";"12043";"Calmont";"14";"73";"NaN"
"2010";"45.5249803676, 4.05302501039";"42";"42137";"Margerie-Chantagret";"11";"82";"NaN"
"2009";"42.2434011098, 8.85509262516";"2A";"2A100";"Cristinacce";"0";"94";"NaN"
"2006";"42.4353535822, 9.42365261956";"2B";"2B072";"Casalta";"0";"94";"NaN"
"2009";"42.1355350741, 9.368065079139999";"2B";"2B075";"Casevecchie";"0";"94";"NaN"
"2005";"45.1844564784, 4.32318621334";"43";"43141";"Montfaucon-en-Velay";"13";"83";"NaN"
"2005";"42.3279231457, 9.43443873515";"2B";"2B334";"Valle-d'Alesani";"0";"94";"NaN"
"2004";"44.9731979795, 4.13915382699";"43";"43186";"Saint-Front";"4";"83";"NaN"
"2008";"42.3897522574, 9.28923196943";"2B";"2B304";"San-Lorenzo";"2";"94";"NaN"
"2003";"47.2627722067, 4.55560519834";"21";"21501";"Pouilly-en-Auxois";"19";"26";"NaN"
"2011";"49.7247039611, 4.07368196391";"02";"02678";"Sainte-Geneviève";"2";"22";"NaN"
"2007";"49.6436030037, 3.67943401416";"02";"02787";"Verneuil-sur-Serre";"4";"22";"NaN"
"2006";"48.6564842295, 7.61650465885";"67";"67495";"Truchtersheim";"25";"42";"NaN"
"2007";"48.1028804059, 5.411532710839999";"52";"52319";"Mennouveaux";"0";"21";"NaN"
"2009";"48.759113126, 7.71180608722";"67";"67417";"Rottelsheim";"2";"42";"NaN"
"2009";"48.8084972349, 6.60564803108";"57";"57295";"Haraucourt-sur-Seille";"1";"41";"NaN"
"2003";"43.9153232562, 7.14112063451";"06";"06078";"Malaussène";"0";"93";"NaN"
"2004";"49.437242014, 6.41053052228";"57";"57364";"Kirsch-lès-Sierck";"4";"41";"NaN"
"2004";"47.8619039789, 0.571664578097";"72";"72210";"Montreuil-le-Henri";"7";"52";"NaN"
"2011";"47.7239745954, -2.77407412753";"56";"56132";"Meucon";"26";"53";"NaN"
"2012";"46.892384215, 4.61739889874";"71";"71480";"Saint-Sernin-du-Plain";"4";"26";"NaN"
"2011";"47.7824013121, -3.01608916771";"56";"56177";"Pluvigner";"98";"53";"NaN"
"2013";"43.9169566519, 0.793230130965";"32";"32371";"Saint-Créac";"0";"73";"NaN"
"2008";"49.1145150394, 7.26539475747";"57";"57196";"Erching";"5";"41";"NaN"
"2009";"43.8493406268, 0.533837296502999";"32";"32417";"La Sauvetat";"6";"73";"NaN"
"2013";"48.9726017584, 6.41177578458";"57";"57220";"Flocourt";"3";"41";"NaN"
"2008";"43.4382106135, 2.89298078323";"34";"34021";"Babeau-Bouldoux";"0";"91";"NaN"
"2010";"48.7700278814, 6.87194156304";"57";"57241";"Fribourg";"4";"41";"NaN"
"2005";"43.6470278582, 3.69970280024";"34";"34163";"Montarnaud";"35";"91";"NaN"
"2011";"50.8503260936, 2.56373009721";"59";"59662";"Winnezeele";"20";"31";"NaN"
"2010";"44.6612294768, -0.0744756650033";"33";"33419";"Saint-Hilaire-du-Bois";"1";"72";"NaN"
"2011";"49.5890936598, 2.51315398391";"60";"60232";"Ferrières";"5";"22";"NaN"
"2010";"43.8258792958, 3.81594115677";"34";"34236";"Rouet";"0";"91";"NaN"
"2007";"49.5932820021, 1.739605828639999";"60";"60596";"Saint-Samson-la-Poterie";"7";"22";"NaN"
"2013";"46.9913891791, -1.71864413598";"44";"44090";"La Marne";"21";"52";"NaN"
"2003";"49.1369195797, 2.810793411879999";"60";"60446";"Nanteuil-le-Haudouin";"45";"22";"NaN"
"2008";"47.357199355, -1.445303373989999";"44";"44179";"Saint-Mars-du-Désert";"46";"52";"NaN"
"2010";"49.5774343318, 3.00799806171";"60";"60471";"Noyon";"245";"22";"NaN"
"2013";"47.9116141172, 1.87108144709";"45";"45285";"Saint-Jean-de-la-Ruelle";"272";"24";"NaN"
"2012";"46.4533938495, 2.252917543569999";"18";"18187";"Préveranges";"1";"24";"NaN"
"2004";"47.7235377028, 2.478830111509999";"45";"45184";"Lion-en-Sullias";"4";"24";"NaN"
"2013";"46.5062478492, 2.24046753513";"18";"18234";"Saint-Saturnin";"3";"24";"NaN"
"2005";"47.6161807189, 7.27312864168";"68";"68377";"Wittersdorf";"7";"42";"NaN"
"2003";"47.3235446456, 5.32194001465";"21";"21256";"Étevaux";"6";"26";"NaN"
"2009";"47.1779786537, 4.99751060917";"21";"21297";"Gilly-lès-Cîteaux";"8";"26";"NaN"
"2005";"47.8261016815, 4.36829803111";"21";"21336";"Laignes";"5";"26";"NaN"
"2012";"47.6545449376, 5.73384333602";"70";"70251";"Francourt";"1";"43";"NaN"
"2010";"44.9374662553, 1.80814651147";"19";"19116";"Liourdres";"2";"74";"NaN"
"2007";"47.8249718183, -0.411523601476";"72";"72343";"Souvigné-sur-Sarthe";"7";"52";"NaN"
"2008";"46.8513776331, 2.55606472439";"18";"18177";"Parnay";"0";"24";"NaN"
"2003";"47.2641409242, 4.84612094396";"21";"21650";"Urcy";"2";"26";"NaN"
"2006";"47.7050367685, 0.526673141254";"72";"72183";"Marçon";"17";"52";"NaN"
"2003";"48.8389480714, -3.24154914571";"22";"22218";"Plougrescant";"14";"53";"NaN"
"2006";"46.4730942856, 4.16777937135";"71";"71590";"Volesvres";"8";"26";"NaN"
"2013";"48.0528331198, 0.0735665144485";"72";"72113";"Degré";"9";"52";"NaN"
"2008";"47.1127122088, 4.50442046153";"21";"21567";"Saint-Prix-lès-Arnay";"3";"26";"NaN"
"2003";"49.7993640965, 0.528771172238999";"76";"76663";"Sassetot-le-Mauconduit";"11";"23";"NaN"
"2009";"45.0488336059, 0.831249852193999";"24";"24220";"Lacropte";"15";"72";"NaN"
"2006";"49.4661147987, 1.0514305734";"76";"76216";"Déville-lès-Rouen";"144";"23";"NaN"
"2007";"49.7084832857, 0.966266484681999";"76";"76018";"Val-de-Saâne";"20";"23";"NaN"
"2005";"44.9314130626, 1.24431944303";"24";"24341";"Proissans";"8";"72";"NaN"
"2004";"49.9605697459, 1.475935226429999";"76";"76422";"Melleville";"0";"23";"NaN"
"2011";"46.3446574595, 1.9934844532";"23";"23089";"Genouillac";"6";"74";"NaN"
"2011";"46.3383631539, 1.6058357703000001";"23";"23103";"Lafat";"3";"74";"NaN"
"2005";"49.8513622783, 2.86281953727";"80";"80353";"Fresnes-Mazancourt";"2";"22";"NaN"
"2012";"44.9766760202, 1.149651036269999";"24";"24544";"Tamniès";"3";"72";"NaN"
"2008";"49.7135084785, 2.52045231855";"80";"80419";"Hargicourt";"9";"22";"NaN"
"2010";"47.4473299299, 6.69006728254";"25";"25159";"Colombier-Fontaine";"10";"43";"NaN"
"2008";"48.9999173467, 1.840366025439999";"78";"78327";"Juziers";"45";"11";"NaN"
"2003";"46.5484127409, -0.381035769407";"79";"79040";"La Boissière-en-Gâtine";"3";"54";"NaN"
"2004";"47.5003692831, 6.60417908896";"25";"25431";"Onans";"2";"43";"NaN"
"2009";"46.5424201679, -0.0197804413151";"79";"79124";"Les Forges";"0";"54";"NaN"
"2012";"44.0915936004, 2.3448678628";"81";"81302";"Tréban";"1";"73";"NaN"
"2003";"46.290244918, -0.594225936069";"79";"79304";"Sansais";"7";"54";"NaN"
"2009";"49.8367821176, 2.30201932317";"80";"80702";"Saint-Fuscien";"6";"22";"NaN"
"2012";"49.5214021779, 5.76638370702";"54";"54323";"Longwy";"174";"41";"NaN"
"2005";"43.5250362218, 2.06781659289";"81";"81142";"Lempaut";"8";"73";"NaN"
"2009";"47.777433487, -0.874589070437999";"53";"53251";"Saint-Quentin-les-Anges";"5";"52";"NaN"
"2003";"43.8884573228, 2.16955643928";"81";"81218";"Puygouzon";"27";"73";"NaN"
"2012";"48.3825961037, -0.26618187335";"53";"53085";"Crennes-sur-Fraubée";"0";"52";"NaN"
"2007";"50.1482964725, 1.98062619732";"80";"80609";"Oneux";"4";"22";"NaN"
"2008";"47.9922231376, -2.38391082278";"56";"56122";"Loyat";"18";"53";"NaN"
"2013";"47.6929109171, -3.23358959435";"56";"56169";"Plouhinec";"39";"53";"NaN"
"2005";"49.9493617833, 1.992188281889999";"80";"80655";"Quesnoy-sur-Airaines";"3";"22";"NaN"
"2009";"48.8524409919, 5.23092840664";"55";"55479";"Seigneulles";"2";"41";"NaN"
"2005";"46.6822701061, -1.8787272243";"85";"85100";"Givrand";"32";"52";"NaN"
"2007";"49.1968729859, 6.58311875071";"57";"57154";"Coume";"4";"41";"NaN"
"2003";"43.9299576961, 5.47580805616";"84";"84103";"Rustrel";"8";"93";"NaN"
"2013";"49.2400453527, 6.26395844495";"57";"57219";"Flévy";"7";"41";"NaN"
"2006";"46.6221916887, -0.642706103195";"85";"85053";"La Chapelle-aux-Lys";"1";"52";"NaN"
"2003";"48.0984875737, -2.52457196653";"56";"56257";"La Trinité-Porhoët";"6";"53";"NaN"
"2012";"47.637007629, 3.76485740571";"89";"89233";"Lucy-sur-Cure";"1";"26";"NaN"
"2009";"47.8301134196, -3.0000365994";"56";"56031";"Camors";"43";"53";"NaN"
"2006";"47.8862119429, 3.09764224265";"89";"89086";"Charny";"15";"26";"NaN"
"2012";"50.1638275467, 3.37224279409";"59";"59102";"Boussières-en-Cambrésis";"6";"31";"NaN"
"2009";"48.1032737559, 5.90705245577";"88";"88287";"Marey";"1";"41";"NaN"
"2003";"50.4339939197, 3.33534225599";"59";"59109";"Brillon";"10";"31";"NaN"
"2009";"48.2054418574, 7.55188432622";"67";"67195";"Hessenheim";"5";"42";"NaN"
"2003";"48.7832829713, 6.57005924028";"57";"57490";"Moyenvic";"5";"41";"NaN"
"2012";"47.5393826084, 5.96042081802";"70";"70384";"Neuvelle-lès-la-Charité";"1";"43";"NaN"
"2006";"47.0592677863, 3.20126668844";"58";"58300";"Urzy";"19";"26";"NaN"
"2009";"47.0145624747, 4.34030409282";"71";"71184";"Dracy-Saint-Loup";"4";"26";"NaN"
"2013";"50.2956596119, 3.53884943565";"59";"59019";"Artres";"11";"31";"NaN"
